Date, Time, AQI, Temperature (C), Humidity (%), Pressure (mb), Temperature before correction (C), Humidity before correction (%)
2022/12/01, 16:16:59, 0.00, 18.93, 37.88, 997.75, 24.65, 28.99
2022/12/01, 16:17:02, 0.00, 18.97, 37.88, 997.79, 24.69, 28.99
2022/12/01, 16:17:05, 0.00, 18.99, 37.71, 997.75, 24.71, 28.80
2022/12/01, 16:17:08, 0.00, 19.04, 37.24, 997.77, 24.76, 28.28
2022/12/01, 16:17:11, 0.00, 19.05, 36.96, 997.71, 24.77, 27.96
2022/12/01, 16:17:14, 0.00, 19.08, 36.83, 997.73, 24.80, 27.81
2022/12/01, 16:17:17, 0.00, 19.10, 36.62, 997.75, 24.82, 27.58
2022/12/01, 16:17:20, 0.00, 19.12, 36.45, 997.73, 24.84, 27.38
2022/12/01, 16:17:23, 0.00, 19.13, 36.49, 997.75, 24.85, 27.43
2022/12/01, 16:17:26, 0.00, 19.15, 36.59, 997.73, 24.87, 27.54
2022/12/01, 16:17:29, 0.00, 19.16, 36.67, 997.71, 24.88, 27.63
2022/12/01, 16:17:32, 0.00, 19.18, 36.86, 997.75, 24.90, 27.85
2022/12/01, 16:17:35, 0.00, 19.19, 37.09, 997.75, 24.91, 28.11
2022/12/01, 16:17:38, 0.00, 19.21, 37.27, 997.75, 24.93, 28.31
2022/12/01, 16:17:41, 0.00, 19.23, 37.28, 997.75, 24.95, 28.32
2022/12/01, 16:17:44, 0.00, 19.25, 37.30, 997.73, 24.97, 28.34
2022/12/01, 16:17:47, 0.00, 19.25, 37.28, 997.75, 24.97, 28.32
2022/12/01, 16:17:50, 0.00, 19.26, 37.08, 997.73, 24.98, 28.10
2022/12/01, 16:17:53, 0.00, 19.27, 36.91, 997.75, 24.99, 27.90
2022/12/01, 16:17:56, 0.00, 19.27, 36.75, 997.77, 24.99, 27.72
2022/12/01, 16:17:59, 0.00, 19.28, 36.57, 997.71, 25.00, 27.52
2022/12/01, 16:18:02, 0.00, 19.29, 36.64, 997.73, 25.01, 27.60
2022/12/01, 16:18:05, 0.00, 19.30, 36.76, 997.71, 25.02, 27.74
2022/12/01, 16:18:08, 0.00, 19.31, 36.91, 997.73, 25.03, 27.91
2022/12/01, 16:18:11, 0.00, 19.32, 36.97, 997.75, 25.04, 27.97
2022/12/01, 16:18:14, 0.00, 19.33, 36.93, 997.77, 25.05, 27.93
2022/12/01, 16:18:17, 0.00, 19.33, 36.97, 997.75, 25.05, 27.97
2022/12/01, 16:18:20, 0.00, 19.35, 37.07, 997.73, 25.07, 28.09
2022/12/01, 16:18:23, 0.00, 19.36, 37.09, 997.71, 25.08, 28.11
2022/12/01, 16:18:26, 0.00, 19.38, 37.19, 997.71, 25.10, 28.22
2022/12/01, 16:18:29, 0.00, 19.38, 37.19, 997.67, 25.10, 28.22
2022/12/01, 16:18:32, 0.00, 19.39, 37.21, 997.69, 25.11, 28.24
2022/12/01, 16:18:35, 0.00, 19.40, 37.28, 997.67, 25.12, 28.32
2022/12/01, 16:18:38, 0.00, 19.42, 37.37, 997.71, 25.14, 28.42
2022/12/01, 16:18:41, 0.00, 19.43, 37.49, 997.71, 25.15, 28.56
2022/12/01, 16:18:44, 0.00, 19.44, 37.57, 997.67, 25.16, 28.65
2022/12/01, 16:18:47, 0.00, 19.46, 37.51, 997.71, 25.18, 28.58
2022/12/01, 16:18:50, 0.00, 19.47, 37.39, 997.73, 25.19, 28.44
2022/12/01, 16:18:53, 0.00, 19.48, 37.19, 997.71, 25.20, 28.22
2022/12/01, 16:18:56, 0.00, 19.51, 36.93, 997.75, 25.23, 27.93
2022/12/01, 16:18:59, 0.00, 19.52, 36.91, 997.71, 25.24, 27.91
2022/12/01, 16:19:02, 0.00, 19.52, 36.99, 997.69, 25.24, 28.00
2022/12/01, 16:19:05, 0.00, 19.53, 36.96, 997.71, 25.25, 27.96
2022/12/01, 16:19:08, 0.00, 19.55, 36.85, 997.71, 25.27, 27.84
2022/12/01, 16:19:11, 0.00, 19.56, 36.81, 997.71, 25.28, 27.79
2022/12/01, 16:19:14, 0.00, 19.57, 37.06, 997.71, 25.29, 28.07
2022/12/01, 16:19:17, 0.00, 19.58, 37.22, 997.71, 25.30, 28.25
2022/12/01, 16:19:20, 0.00, 19.58, 37.40, 997.71, 25.30, 28.46
2022/12/01, 16:19:23, 0.00, 19.59, 37.53, 997.73, 25.31, 28.60
2022/12/01, 16:19:26, 0.00, 19.59, 37.56, 997.69, 25.31, 28.63
2022/12/01, 16:19:29, 0.00, 19.59, 37.74, 997.69, 25.31, 28.83
2022/12/01, 16:19:32, 0.00, 19.61, 37.53, 997.73, 25.33, 28.60
2022/12/01, 16:19:35, 0.00, 19.62, 37.35, 997.71, 25.34, 28.40
2022/12/01, 16:19:38, 0.00, 19.64, 37.30, 997.73, 25.36, 28.34
2022/12/01, 16:19:41, 0.00, 19.64, 37.04, 997.71, 25.36, 28.05
2022/12/01, 16:19:44, 0.00, 19.66, 36.54, 997.73, 25.38, 27.49
2022/12/01, 16:19:47, 0.00, 19.68, 36.28, 997.75, 25.40, 27.19
2022/12/01, 16:19:50, 0.00, 19.68, 36.16, 997.75, 25.40, 27.05
2022/12/01, 16:19:53, 0.00, 19.69, 36.05, 997.75, 25.41, 26.92
2022/12/01, 16:19:56, 0.00, 19.69, 35.93, 997.73, 25.41, 26.78
2022/12/01, 16:19:59, 0.00, 19.70, 35.77, 997.73, 25.42, 26.59
2022/12/01, 16:20:02, 0.00, 19.72, 35.59, 997.75, 25.44, 26.39
2022/12/01, 16:20:05, 0.00, 19.72, 35.48, 997.71, 25.44, 26.26
2022/12/01, 16:20:08, 0.00, 19.73, 35.36, 997.71, 25.45, 26.11
2022/12/01, 16:20:11, 0.00, 19.73, 35.15, 997.75, 25.45, 25.87
2022/12/01, 16:20:14, 0.00, 19.74, 35.08, 997.67, 25.46, 25.78
2022/12/01, 16:20:17, 0.00, 19.75, 35.05, 997.73, 25.47, 25.75
2022/12/01, 16:20:20, 0.00, 19.74, 35.17, 997.75, 25.46, 25.89
2022/12/01, 16:20:23, 0.00, 19.74, 35.25, 997.73, 25.46, 25.98
2022/12/01, 16:20:26, 0.00, 19.74, 35.20, 997.77, 25.46, 25.92
2022/12/01, 16:20:29, 0.00, 19.74, 35.20, 997.67, 25.46, 25.92
2022/12/01, 16:20:32, 0.00, 19.72, 35.26, 997.69, 25.44, 25.99
2022/12/01, 16:20:35, 0.00, 19.70, 35.62, 997.71, 25.42, 26.42
2022/12/01, 16:20:38, 0.00, 19.68, 35.69, 997.73, 25.40, 26.50
2022/12/01, 16:20:41, 0.37, 19.63, 35.66, 997.73, 25.35, 26.47
2022/12/01, 16:20:44, 2.33, 19.60, 35.58, 997.69, 25.32, 26.37
2022/12/01, 16:20:47, 0.22, 19.56, 35.49, 997.69, 25.28, 26.27
2022/12/01, 16:20:50, 0.86, 19.52, 35.41, 997.67, 25.24, 26.17
2022/12/01, 16:20:53, 1.77, 19.47, 35.37, 997.67, 25.19, 26.13
2022/12/01, 16:20:56, 3.24, 19.43, 35.31, 997.67, 25.15, 26.06
2022/12/01, 16:20:59, 7.03, 19.40, 35.26, 997.65, 25.12, 25.99
2022/12/01, 16:21:02, 12.42, 19.36, 35.22, 997.69, 25.08, 25.95
2022/12/01, 16:21:05, 12.76, 19.32, 35.19, 997.71, 25.04, 25.91
2022/12/01, 16:21:08, 14.44, 19.29, 35.17, 997.67, 25.01, 25.89
2022/12/01, 16:21:11, 16.29, 19.19, 35.20, 997.71, 24.91, 25.92
2022/12/01, 16:21:14, 12.33, 19.19, 34.98, 997.69, 24.91, 25.66
2022/12/01, 16:21:17, 14.97, 19.17, 34.86, 997.65, 24.89, 25.52
2022/12/01, 16:21:20, 16.54, 19.15, 34.92, 997.56, 24.87, 25.59
2022/12/01, 16:21:23, 18.28, 19.13, 35.01, 997.50, 24.85, 25.70
2022/12/01, 16:21:26, 21.67, 19.13, 35.09, 997.31, 24.85, 25.79
2022/12/01, 16:21:29, 24.23, 19.12, 35.32, 997.27, 24.84, 26.07
2022/12/01, 16:21:32, 25.00, 19.12, 35.37, 997.27, 24.84, 26.12
2022/12/01, 16:21:35, 26.49, 19.10, 35.41, 997.27, 24.82, 26.17
2022/12/01, 16:21:38, 25.00, 19.11, 35.31, 997.29, 24.83, 26.05
2022/12/01, 16:21:41, 24.62, 19.11, 35.12, 997.27, 24.83, 25.83
2022/12/01, 16:21:44, 26.63, 19.11, 35.15, 997.29, 24.83, 25.86
2022/12/01, 16:21:47, 27.61, 19.12, 35.16, 997.29, 24.84, 25.88
2022/12/01, 16:21:50, 27.33, 19.12, 35.12, 997.33, 24.84, 25.83
2022/12/01, 16:21:53, 29.70, 19.14, 35.12, 997.37, 24.86, 25.83
2022/12/01, 16:21:56, 30.48, 19.14, 35.01, 997.27, 24.86, 25.70
2022/12/01, 16:21:59, 32.55, 19.15, 35.05, 997.22, 24.87, 25.75
2022/12/01, 16:22:02, 36.29, 19.17, 35.16, 997.23, 24.89, 25.88
2022/12/01, 16:22:05, 37.76, 19.18, 35.14, 997.25, 24.90, 25.85
2022/12/01, 16:22:08, 39.27, 19.19, 35.13, 997.25, 24.91, 25.84
2022/12/01, 16:22:11, 39.79, 19.21, 35.11, 997.23, 24.93, 25.82
2022/12/01, 16:22:14, 41.88, 19.23, 35.12, 997.27, 24.95, 25.83
2022/12/01, 16:22:17, 41.98, 19.25, 35.16, 997.23, 24.97, 25.88
2022/12/01, 16:22:20, 39.75, 19.26, 35.20, 997.20, 24.98, 25.92
2022/12/01, 16:22:23, 37.88, 19.28, 35.19, 997.22, 25.00, 25.91
2022/12/01, 16:22:26, 36.29, 19.28, 35.21, 997.18, 25.00, 25.94
2022/12/01, 16:22:29, 37.88, 19.31, 35.17, 997.20, 25.03, 25.89
2022/12/01, 16:22:32, 39.32, 19.33, 35.15, 997.23, 25.05, 25.87
2022/12/01, 16:22:35, 38.38, 19.34, 35.13, 997.22, 25.06, 25.84
2022/12/01, 16:22:38, 38.77, 19.36, 35.09, 997.22, 25.08, 25.79
2022/12/01, 16:22:41, 39.30, 19.38, 35.13, 997.22, 25.10, 25.84
2022/12/01, 16:22:44, 33.56, 19.39, 35.16, 997.23, 25.11, 25.88
2022/12/01, 16:22:47, 37.55, 19.41, 35.16, 997.22, 25.13, 25.88
2022/12/01, 16:22:50, 39.59, 19.42, 35.16, 997.20, 25.14, 25.88
2022/12/01, 16:22:53, 40.96, 19.44, 35.14, 997.20, 25.16, 25.85
2022/12/01, 16:22:56, 35.50, 19.46, 35.13, 997.23, 25.18, 25.84
2022/12/01, 16:22:59, 33.70, 19.47, 35.13, 997.23, 25.19, 25.84
2022/12/01, 16:23:02, 36.75, 19.48, 35.11, 997.22, 25.20, 25.82
2022/12/01, 16:23:05, 37.83, 19.49, 35.10, 997.22, 25.21, 25.81
2022/12/01, 16:23:08, 33.61, 19.52, 35.01, 997.20, 25.24, 25.70
2022/12/01, 16:23:11, 36.15, 19.53, 34.94, 997.23, 25.25, 25.62
2022/12/01, 16:23:14, 37.23, 19.54, 34.94, 997.20, 25.26, 25.62
2022/12/01, 16:23:17, 33.30, 19.55, 34.95, 997.20, 25.27, 25.63
2022/12/01, 16:23:20, 36.14, 19.57, 34.99, 997.22, 25.29, 25.67
2022/12/01, 16:23:23, 35.69, 19.58, 35.00, 997.20, 25.30, 25.69
2022/12/01, 16:23:26, 36.95, 19.59, 35.04, 997.18, 25.31, 25.73
2022/12/01, 16:23:29, 37.76, 19.60, 35.02, 997.18, 25.32, 25.71
2022/12/01, 16:23:32, 37.60, 19.61, 35.02, 997.20, 25.33, 25.71
2022/12/01, 16:23:35, 34.09, 19.63, 34.99, 997.20, 25.35, 25.68
2022/12/01, 16:23:38, 33.92, 19.65, 34.98, 997.20, 25.37, 25.66
2022/12/01, 16:23:41, 31.45, 19.65, 34.98, 997.18, 25.37, 25.66
2022/12/01, 16:23:44, 26.08, 19.67, 34.90, 997.20, 25.39, 25.57
2022/12/01, 16:23:47, 25.00, 19.65, 34.94, 997.20, 25.37, 25.62
2022/12/01, 16:23:50, 25.30, 19.68, 34.93, 997.25, 25.40, 25.60
2022/12/01, 16:23:53, 27.46, 19.69, 35.10, 997.54, 25.41, 25.81
2022/12/01, 16:23:56, 28.07, 19.68, 35.20, 997.59, 25.40, 25.92
2022/12/01, 16:23:59, 32.42, 19.69, 35.12, 997.59, 25.41, 25.83
2022/12/01, 16:24:02, 31.52, 19.69, 35.20, 997.59, 25.41, 25.93
2022/12/01, 16:24:05, 30.65, 19.70, 35.25, 997.57, 25.42, 25.98
2022/12/01, 16:24:08, 29.69, 19.71, 35.34, 997.63, 25.43, 26.09
2022/12/01, 16:24:11, 31.87, 19.71, 35.31, 997.61, 25.43, 26.06
2022/12/01, 16:24:14, 37.73, 19.73, 35.66, 997.63, 25.45, 26.47
2022/12/01, 16:24:17, 40.53, 19.74, 36.33, 997.63, 25.46, 27.24
2022/12/01, 16:24:20, 49.12, 19.74, 37.49, 997.69, 25.46, 28.56
2022/12/01, 16:24:23, 52.68, 19.76, 38.55, 997.65, 25.48, 29.72
2022/12/01, 16:24:26, 55.27, 19.77, 39.05, 997.67, 25.49, 30.26
2022/12/01, 16:24:29, 52.10, 19.79, 39.27, 997.67, 25.51, 30.49
2022/12/01, 16:24:32, 50.12, 19.80, 39.45, 997.67, 25.52, 30.68
2022/12/01, 16:24:35, 52.21, 19.83, 39.68, 997.63, 25.55, 30.93
2022/12/01, 16:24:38, 53.70, 19.85, 40.09, 997.63, 25.57, 31.36
2022/12/01, 16:24:41, 53.21, 19.86, 40.50, 997.63, 25.58, 31.78
2022/12/01, 16:24:44, 49.13, 19.87, 40.70, 997.61, 25.59, 31.99
2022/12/01, 16:24:47, 45.88, 19.90, 40.93, 997.61, 25.62, 32.22
2022/12/01, 16:24:50, 42.05, 19.90, 41.18, 997.65, 25.62, 32.48
2022/12/01, 16:24:53, 36.80, 19.92, 41.23, 997.65, 25.64, 32.53
2022/12/01, 16:24:56, 32.22, 19.94, 41.25, 997.63, 25.66, 32.55
2022/12/01, 16:24:59, 26.06, 19.95, 41.27, 997.65, 25.67, 32.57
2022/12/01, 16:25:02, 23.47, 19.96, 41.32, 997.67, 25.68, 32.62
2022/12/01, 16:25:05, 19.00, 19.97, 41.34, 997.65, 25.69, 32.64
2022/12/01, 16:25:08, 13.47, 19.99, 40.98, 997.67, 25.71, 32.27
2022/12/01, 16:25:11, 8.84, 19.99, 40.54, 997.65, 25.71, 31.82
2022/12/01, 16:25:14, 4.88, 20.01, 40.16, 997.63, 25.73, 31.43
2022/12/01, 16:25:17, 2.04, 20.03, 39.88, 997.65, 25.75, 31.14
2022/12/01, 16:25:20, 0.00, 20.03, 39.37, 997.61, 25.75, 30.60
2022/12/01, 16:25:23, 0.00, 20.04, 38.81, 997.67, 25.76, 30.00
2022/12/01, 16:25:26, 0.00, 20.06, 39.40, 997.63, 25.78, 30.63
2022/12/01, 16:25:29, 0.00, 20.08, 40.03, 997.67, 25.80, 31.29
2022/12/01, 16:25:32, 0.14, 20.09, 40.27, 997.65, 25.81, 31.54
2022/12/01, 16:25:35, 0.00, 20.10, 40.30, 997.67, 25.82, 31.57
2022/12/01, 16:25:38, 0.00, 20.12, 40.43, 997.63, 25.84, 31.71
2022/12/01, 16:25:41, 0.00, 20.14, 40.49, 997.63, 25.86, 31.77
2022/12/01, 16:25:44, 0.00, 20.15, 40.39, 997.65, 25.87, 31.67
2022/12/01, 16:25:47, 0.00, 20.17, 40.25, 997.65, 25.89, 31.52
2022/12/01, 16:25:50, 0.00, 20.19, 40.09, 997.67, 25.91, 31.36
2022/12/01, 16:25:53, 0.00, 20.20, 40.04, 997.71, 25.92, 31.30
2022/12/01, 16:25:56, 0.00, 20.21, 40.02, 997.65, 25.93, 31.28
2022/12/01, 16:25:59, 0.00, 20.23, 39.98, 997.67, 25.95, 31.24
2022/12/01, 16:26:02, 0.00, 20.24, 39.83, 997.65, 25.96, 31.08
2022/12/01, 16:26:05, 0.00, 20.25, 39.71, 997.65, 25.97, 30.96
2022/12/01, 16:26:08, 0.00, 20.28, 39.68, 997.63, 26.00, 30.93
2022/12/01, 16:26:11, 0.00, 20.29, 39.73, 997.63, 26.01, 30.98
2022/12/01, 16:26:14, 0.00, 20.30, 40.17, 997.63, 26.02, 31.44
2022/12/01, 16:26:17, 0.00, 20.32, 40.36, 997.63, 26.04, 31.64
2022/12/01, 16:26:20, 0.00, 20.34, 40.28, 997.67, 26.06, 31.55
2022/12/01, 16:26:23, 0.00, 20.35, 40.12, 997.65, 26.07, 31.39
2022/12/01, 16:26:26, 0.00, 20.36, 40.07, 997.65, 26.08, 31.34
2022/12/01, 16:26:29, 0.00, 20.38, 40.06, 997.65, 26.10, 31.32
2022/12/01, 16:26:32, 0.00, 20.39, 39.99, 997.63, 26.11, 31.25
2022/12/01, 16:26:35, 0.00, 20.40, 39.92, 997.65, 26.12, 31.18
2022/12/01, 16:26:38, 0.00, 20.41, 39.82, 997.63, 26.13, 31.07
2022/12/01, 16:26:41, 0.00, 20.42, 39.72, 997.65, 26.14, 30.97
2022/12/01, 16:26:44, 0.00, 20.43, 39.72, 997.63, 26.15, 30.97
2022/12/01, 16:26:47, 0.00, 20.44, 39.77, 997.63, 26.16, 31.02
2022/12/01, 16:26:50, 0.00, 20.45, 39.84, 997.61, 26.17, 31.09
2022/12/01, 16:26:53, 0.00, 20.46, 39.87, 997.63, 26.18, 31.13
2022/12/01, 16:26:56, 0.00, 20.47, 39.88, 997.63, 26.19, 31.14
2022/12/01, 16:26:59, 0.00, 20.48, 39.80, 997.63, 26.20, 31.05
2022/12/01, 16:27:02, 0.00, 20.50, 39.64, 997.67, 26.22, 30.89
2022/12/01, 16:27:05, 0.00, 20.50, 39.46, 997.65, 26.22, 30.70
2022/12/01, 16:27:08, 0.00, 20.52, 39.22, 997.67, 26.24, 30.44
2022/12/01, 16:27:11, 0.00, 20.52, 39.00, 997.63, 26.24, 30.21
2022/12/01, 16:27:14, 0.00, 20.53, 38.89, 997.65, 26.25, 30.09
2022/12/01, 16:27:17, 0.00, 20.54, 38.84, 997.65, 26.26, 30.03
2022/12/01, 16:27:20, 0.00, 20.55, 38.70, 997.65, 26.27, 29.88
2022/12/01, 16:27:23, 0.00, 20.57, 38.64, 997.63, 26.29, 29.82
2022/12/01, 16:27:26, 0.00, 20.58, 38.79, 997.65, 26.30, 29.98
2022/12/01, 16:27:29, 1.39, 20.59, 38.99, 997.67, 26.31, 30.19
2022/12/01, 16:27:32, 6.47, 20.60, 39.27, 997.65, 26.32, 30.49
2022/12/01, 16:27:35, 6.97, 20.60, 39.48, 997.63, 26.32, 30.72
2022/12/01, 16:27:38, 5.78, 20.62, 39.42, 997.65, 26.34, 30.65
2022/12/01, 16:27:41, 4.26, 20.63, 39.23, 997.63, 26.35, 30.45
2022/12/01, 16:27:44, 4.10, 20.64, 39.07, 997.67, 26.36, 30.28
2022/12/01, 16:27:47, 8.10, 20.64, 39.14, 997.65, 26.36, 30.35
2022/12/01, 16:27:50, 8.58, 20.65, 39.28, 997.65, 26.37, 30.50
2022/12/01, 16:27:53, 12.09, 20.64, 39.52, 997.65, 26.36, 30.76
2022/12/01, 16:27:56, 20.62, 20.63, 40.02, 997.63, 26.35, 31.28
2022/12/01, 16:27:59, 25.00, 20.60, 40.63, 997.65, 26.32, 31.92
2022/12/01, 16:28:02, 24.88, 20.59, 40.27, 997.69, 26.31, 31.54
2022/12/01, 16:28:05, 21.37, 20.58, 39.95, 997.67, 26.30, 31.21
2022/12/01, 16:28:08, 22.39, 20.56, 39.95, 997.65, 26.28, 31.21
2022/12/01, 16:28:11, 22.21, 20.54, 39.96, 997.67, 26.26, 31.22
2022/12/01, 16:28:14, 21.46, 20.53, 39.75, 997.67, 26.25, 31.00
2022/12/01, 16:28:17, 21.67, 20.54, 39.70, 997.69, 26.26, 30.95
2022/12/01, 16:28:20, 23.99, 20.53, 39.79, 997.65, 26.25, 31.04
2022/12/01, 16:28:23, 24.18, 20.54, 39.93, 997.67, 26.26, 31.19
2022/12/01, 16:28:26, 25.00, 20.55, 39.98, 997.69, 26.27, 31.24
2022/12/01, 16:28:29, 25.62, 20.54, 40.05, 997.67, 26.26, 31.31
2022/12/01, 16:28:32, 24.96, 20.54, 40.03, 997.69, 26.26, 31.29
2022/12/01, 16:28:35, 24.64, 20.55, 39.90, 997.67, 26.27, 31.16
2022/12/01, 16:28:38, 24.40, 20.55, 39.71, 997.67, 26.27, 30.96
2022/12/01, 16:28:41, 20.54, 20.55, 39.53, 997.65, 26.27, 30.77
2022/12/01, 16:28:44, 20.51, 20.55, 39.35, 997.65, 26.27, 30.58
2022/12/01, 16:28:47, 19.36, 20.56, 39.17, 997.67, 26.28, 30.39
2022/12/01, 16:28:50, 20.29, 20.57, 39.02, 997.65, 26.29, 30.23
2022/12/01, 16:28:53, 20.44, 20.57, 38.95, 997.65, 26.29, 30.15
2022/12/01, 16:28:56, 21.56, 20.57, 38.93, 997.65, 26.29, 30.13
2022/12/01, 16:28:59, 21.31, 20.58, 38.76, 997.65, 26.30, 29.95
2022/12/01, 16:29:02, 22.63, 20.59, 38.64, 997.65, 26.31, 29.82
2022/12/01, 16:29:05, 21.95, 20.60, 38.48, 997.67, 26.32, 29.64
2022/12/01, 16:29:08, 24.71, 20.60, 38.32, 997.65, 26.32, 29.47
2022/12/01, 16:29:11, 24.43, 20.62, 38.16, 997.67, 26.34, 29.30
2022/12/01, 16:29:14, 25.29, 20.63, 38.04, 997.65, 26.35, 29.16
2022/12/01, 16:29:17, 25.00, 20.63, 37.93, 997.65, 26.35, 29.04
2022/12/01, 16:29:20, 27.80, 20.64, 37.84, 997.69, 26.36, 28.94
2022/12/01, 16:29:23, 28.25, 20.65, 37.83, 997.67, 26.37, 28.93
2022/12/01, 16:29:26, 29.03, 20.65, 37.80, 997.65, 26.37, 28.90
2022/12/01, 16:29:29, 33.82, 20.65, 37.78, 997.67, 26.37, 28.88
2022/12/01, 16:29:32, 34.85, 20.66, 37.86, 997.69, 26.38, 28.97
2022/12/01, 16:29:35, 38.49, 20.66, 38.05, 997.67, 26.38, 29.18
2022/12/01, 16:29:38, 39.90, 20.67, 38.31, 997.67, 26.39, 29.46
2022/12/01, 16:29:41, 42.62, 20.68, 38.48, 997.69, 26.40, 29.65
2022/12/01, 16:29:44, 44.46, 20.69, 38.54, 997.69, 26.41, 29.71
2022/12/01, 16:29:47, 45.40, 20.69, 38.57, 997.67, 26.41, 29.74
2022/12/01, 16:29:50, 46.41, 20.70, 38.53, 997.69, 26.42, 29.70
2022/12/01, 16:29:53, 51.31, 20.70, 38.67, 997.67, 26.42, 29.85
2022/12/01, 16:29:56, 54.85, 20.70, 38.98, 997.67, 26.42, 30.18
2022/12/01, 16:29:59, 54.33, 20.72, 39.16, 997.67, 26.44, 30.38
2022/12/01, 16:30:02, 51.75, 20.73, 39.23, 997.67, 26.45, 30.45
2022/12/01, 16:30:05, 52.54, 20.75, 39.19, 997.69, 26.47, 30.41
2022/12/01, 16:30:08, 51.63, 20.77, 39.13, 997.65, 26.49, 30.34
2022/12/01, 16:30:11, 49.06, 20.78, 39.00, 997.69, 26.50, 30.21
2022/12/01, 16:30:14, 50.48, 20.80, 38.80, 997.69, 26.52, 29.99
2022/12/01, 16:30:17, 50.03, 20.81, 38.63, 997.67, 26.53, 29.81
2022/12/01, 16:30:20, 52.19, 20.82, 38.61, 997.65, 26.54, 29.79
2022/12/01, 16:30:23, 52.12, 20.85, 38.73, 997.65, 26.57, 29.92
2022/12/01, 16:30:26, 50.48, 20.87, 38.88, 997.65, 26.59, 30.08
2022/12/01, 16:30:29, 52.93, 20.87, 38.89, 997.65, 26.59, 30.09
2022/12/01, 16:30:32, 54.36, 20.89, 38.93, 997.63, 26.61, 30.13
2022/12/01, 16:30:35, 53.47, 20.92, 38.97, 997.67, 26.64, 30.17
2022/12/01, 16:30:38, 50.81, 20.93, 38.95, 997.65, 26.65, 30.15
2022/12/01, 16:30:41, 48.75, 20.94, 38.74, 997.69, 26.66, 29.93
2022/12/01, 16:30:44, 47.75, 20.96, 38.56, 997.69, 26.68, 29.73
2022/12/01, 16:30:47, 45.85, 20.97, 38.49, 997.67, 26.69, 29.66
2022/12/01, 16:30:50, 44.53, 21.00, 38.42, 997.71, 26.72, 29.58
2022/12/01, 16:30:53, 43.52, 21.00, 38.28, 997.67, 26.72, 29.43
2022/12/01, 16:30:56, 40.80, 21.01, 37.96, 997.69, 26.73, 29.08
