Date,Time,Elapsed Seconds,Carbon Dioxide-CO&#x2082; (ppm),Carbon Dioxide-Avg. (ppm),Particulate Matter-PM10 (ug/m&#179;),Particulate Matter-PM2.5 (ug/m&#179;),Particulate Matter-PM1.0 (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Air Quality Index-AQI ,Air Quality Index-Avg. ,Pressure Barometric-Pressure (mBar),Internal Temperature-Internal Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Pressure Altitude-Altitude (m),Ozone-Avg. (ppb),Ozone-O&#x2083; (ppb)
,,16.00,1220,1307.6,4,9,11,1.9,7.6,10.4,37.5,31.6,992.57,26.9,34.6,10,26.6,173.6,0.4,0
,,17.00,1215,1302.5,4,9,11,2,7.7,10.4,37.5,31.9,992.61,26.9,34.6,10,26.6,173.2,0.5,0.9
,,18.00,1196,1296.9,4,8,10,2.1,7.7,10.4,33.3,32,992.56,27,34.6,10,26.6,173.7,0.4,-0.3
,,19.00,1185,1291.3,4,8,10,2.2,7.7,10.4,33.3,32.1,992.59,27,34.6,10,26.6,173.4,0.5,0.5
,,20.00,1174,1285.7,4,8,10,2.3,7.7,10.3,33.3,32.1,992.59,27,34.6,10,26.6,173.4,0.5,0.6
,,21.00,1164,1280.2,4,7,9,2.4,7.7,10.3,29.2,32,992.59,27,34.6,10,26.6,173.4,0.4,-0.2
,,22.00,1117,1273.1,5,8,9,2.5,7.7,10.2,33.3,32.1,992.62,27,33.2,9.4,26.5,173.1,0.4,-0.5
,,23.00,1107,1266.2,5,8,9,2.6,7.7,10.2,33.3,32.1,992.61,27,33.2,9.4,26.5,173.2,0.5,0.4
,,24.00,1093,1259.2,7,10,11,2.8,7.8,10.2,41.7,32.5,992.65,27,33.2,9.4,26.5,172.9,0.4,0
,,25.00,1068,1251.9,7,10,11,2.9,7.9,10.2,41.7,32.8,992.66,27,33.2,9.4,26.5,172.9,0.4,0.1
,,26.00,1014,1243.1,8,10,12,3.1,8,10.3,41.7,33.2,992.64,27,33.2,9.4,26.5,173,0.4,-0.3
,,27.00,997,1234.3,9,12,15,3.3,8.1,10.5,50,33.8,992.65,27,33.2,9.4,26.5,172.9,0.5,1
,,28.00,982,1225.6,8,11,14,3.5,8.2,10.6,45.8,34.2,992.68,27,33.2,9.4,26.5,172.7,0.5,0.3
,,29.00,962,1216.8,10,12,14,3.7,8.3,10.7,50,34.7,992.64,27,33.2,9.4,26.5,173,0.4,0
,,30.00,926,1207.4,12,15,16,4,8.5,10.9,57.1,35.4,992.65,27,33.2,9.4,26.5,172.9,0.5,0.9
,,31.00,917,1198.3,12,15,16,4.2,8.8,11,57.1,36.1,992.63,27,33.2,9.4,26.5,173.1,0.5,0.4
,,32.00,902,1189.4,13,17,18,4.5,9,11.2,61.3,36.9,992.62,27,33.2,9.4,26.5,173.1,0.5,0.7
,,33.00,886,1180.4,13,17,18,4.7,9.2,11.4,61.3,37.6,992.65,27,33.2,9.4,26.5,172.9,0.4,0
,,34.00,855,1171.1,14,18,19,5,9.5,11.7,63.4,38.3,992.63,26.9,33.2,9.4,26.5,173.1,0.4,-0.1
,,35.00,841,1162,16,20,21,5.3,9.8,11.9,67.6,39.1,992.63,26.9,33.2,9.4,26.5,173.1,0.5,0.3
,,36.00,833,1153.1,16,20,21,5.6,10.1,12.2,67.6,39.9,992.63,26.9,33.2,9.4,26.5,173.1,0.5,0.3
,,37.00,824,1144.4,16,20,21,5.9,10.3,12.4,67.6,40.6,992.59,26.9,33.2,9.4,26.5,173.4,0.4,0
,,38.00,812,1135.9,18,24,26,6.2,10.7,12.7,76,41.5,992.63,26.9,33.2,9.4,26.5,173.1,0.4,-0.3
,,39.00,803,1127.6,18,25,27,6.5,11,13.1,78.1,42.5,992.63,26.9,33.2,9.4,26.5,173.1,0.4,-0.1
,,40.00,800,1119.6,19,25,28,6.8,11.4,13.5,78.1,43.3,992.62,26.9,31.8,8.8,26.4,173.2,0.4,0
,,41.00,795,1111.9,18,26,27,7,11.7,13.8,80.2,44.2,992.63,26.9,31.8,8.8,26.4,173.1,0.4,-0.2
,,42.00,766,1103.8,17,28,29,7.3,12.1,14.1,84.4,45.1,992.63,26.9,31.8,8.8,26.4,173.1,0.5,0.5
,,43.00,768,1096.2,17,28,30,7.5,12.5,14.5,84.4,46,992.63,26.9,31.8,8.8,26.4,173.1,0.5,1.1
,,44.00,762,1088.8,16,27,27,7.7,12.8,14.8,82.3,46.8,992.63,26.9,31.8,8.7,26.4,173.1,0.5,0.5
,,45.00,759,1081.6,16,28,28,7.9,13.1,15.1,84.4,47.7,992.64,26.9,31.8,8.7,26.4,173,0.5,0.7
,,46.00,742,1074.4,16,29,29,8,13.4,15.4,86.5,48.5,992.63,26.9,31.8,8.7,26.4,173.1,0.5,1.1
,,47.00,739,1067.4,15,28,28,8.2,13.8,15.6,84.4,49.2,992.66,26.9,31.8,8.7,26.4,172.8,0.4,-0.2
,,48.00,741,1060.7,16,30,30,8.3,14.1,15.9,88.6,50,992.63,26.9,31.8,8.7,26.4,173,0.5,0.6
,,49.00,736,1054.2,16,30,30,8.5,14.4,16.2,88.6,50.8,992.64,26.9,31.8,8.7,26.4,173,0.5,0.7
,,50.00,737,1048,16,27,28,8.6,14.6,16.4,82.3,51.4,992.68,26.9,31.8,8.7,26.4,172.7,0.5,0.5
,,51.00,736,1042,16,27,28,8.8,14.9,16.7,82.3,52,992.63,26.9,31.8,8.7,26.4,173.1,0.4,-0.1
,,52.00,731,1036.1,16,27,28,8.9,15.1,16.9,82.3,52.6,992.63,26.9,31.8,8.7,26.4,173.1,0.4,0.2
,,53.00,733,1030.5,15,26,27,9,15.3,17.1,80.2,53.1,992.63,26.9,31.8,8.7,26.4,173.1,0.4,-0.4
,,54.00,738,1025.2,15,25,27,9.1,15.5,17.2,78.1,53.6,992.62,26.9,31.8,8.7,26.4,173.1,0.4,-0.4
,,55.00,739,1020.1,15,27,29,9.3,15.7,17.4,82.3,54.1,992.63,26.9,31.8,8.7,26.4,173.1,0.4,0
,,56.00,739,1015.2,15,27,29,9.4,15.9,17.6,82.3,54.6,992.63,26.9,31.8,8.7,26.4,173.1,0.4,0.2
,,57.00,736,1010.3,16,29,31,9.5,16.1,17.9,86.5,55.1,992.62,26.8,31.8,8.7,26.4,173.1,0.4,-0.2
,,58.00,731,1005.6,17,30,34,9.6,16.4,18.2,88.6,55.7,992.62,26.8,31.8,8.7,26.4,173.1,0.5,0.6
,,59.00,731,1001,17,30,34,9.7,16.6,18.4,88.6,56.2,992.63,26.8,31.8,8.7,26.4,173.1,0.4,-0.1
,,60.00,724,996.5,17,30,34,9.8,16.8,18.7,88.6,56.8,992.62,26.8,31.8,8.7,26.4,173.1,0.5,0.5
,,61.00,719,992,17,30,34,10,17,18.9,88.6,57.3,992.61,26.8,31.8,8.7,26.4,173.2,0.4,0
,,62.00,712,987.6,17,29,32,10.1,17.2,19.1,86.5,57.7,992.66,26.8,31.8,8.7,26.4,172.9,0.4,0.1
,,63.00,709,983.2,17,29,32,10.2,17.4,19.3,86.5,58.2,992.64,26.8,31.8,8.6,26.4,173,0.5,0.3
,,64.00,702,978.9,17,29,32,10.3,17.6,19.5,86.5,58.6,992.64,26.8,31.8,8.6,26.4,173,0.4,0.3
,,65.00,691,974.5,18,29,32,10.4,17.7,19.7,86.5,59,992.63,26.8,31.8,8.6,26.4,173.1,0.4,-0.3
,,66.00,678,970.1,18,28,32,10.5,17.9,19.9,84.4,59.4,992.62,26.8,31.8,8.6,26.3,173.2,0.4,-0.3
,,67.00,670,965.7,18,28,32,10.6,18,20.1,84.4,59.8,992.64,26.8,31.8,8.6,26.3,173,0.5,1
,,68.00,672,961.4,18,28,31,10.7,18.2,20.2,84.4,60.1,992.63,26.8,31.8,8.6,26.3,173.1,0.5,0.3
,,69.00,678,957.4,18,28,31,10.8,18.3,20.4,84.4,60.5,992.67,26.8,31.8,8.6,26.3,172.7,0.4,-0.1
,,70.00,666,953.3,17,27,29,10.9,18.5,20.5,82.3,60.8,992.65,26.8,31.8,8.6,26.3,172.9,0.4,0
,,71.00,666,949.3,18,27,30,11,18.6,20.6,82.3,61.1,992.68,26.7,31.8,8.6,26.3,172.7,0.4,-0.4
,,72.00,664,945.4,18,27,30,11.1,18.7,20.8,82.3,61.4,992.64,26.8,31.8,8.6,26.3,173,0.5,0.7
,,73.00,662,941.6,18,27,29,11.2,18.8,20.9,82.3,61.7,992.66,26.7,31.8,8.6,26.3,172.8,0.4,0.2
,,74.00,662,937.8,17,25,27,11.3,18.9,21,78.1,61.9,992.64,26.7,31.8,8.6,26.3,173,0.4,0.2
,,75.00,657,934.1,17,25,27,11.4,19,21,78.1,62.1,992.64,26.7,31.8,8.6,26.3,173,0.4,-0.6
,,76.00,653,930.5,17,25,27,11.4,19,21.1,78.1,62.3,992.63,26.7,31.8,8.6,26.3,173,0.5,1
,,77.00,651,926.9,17,25,27,11.5,19.1,21.2,78.1,62.5,992.62,26.7,31.8,8.6,26.3,173.2,0.5,0.6
,,78.00,646,923.3,19,27,29,11.6,19.2,21.3,82.3,62.8,992.6,26.7,31.8,8.6,26.2,173.3,0.4,-0.4
,,79.00,643,919.8,18,26,27,11.7,19.3,21.4,80.2,63,992.6,26.7,31.8,8.6,26.2,173.3,0.5,0.3
,,80.00,637,916.3,18,26,27,11.8,19.4,21.4,80.2,63.2,992.58,26.7,31.8,8.5,26.2,173.5,0.5,0.8
,,81.00,636,912.9,18,26,27,11.8,19.5,21.5,80.2,63.4,992.58,26.7,31.8,8.5,26.2,173.5,0.4,0.1
,,82.00,636,909.6,18,26,27,11.9,19.5,21.6,80.2,63.6,992.63,26.7,31.8,8.5,26.2,173.1,0.4,-0.3
,,83.00,631,906.3,18,26,27,12,19.6,21.6,80.2,63.8,992.62,26.7,31.8,8.5,26.2,173.1,0.4,-0.2
,,84.00,626,903,18,26,27,12,19.7,21.7,80.2,64,992.62,26.7,31.8,8.5,26.2,173.1,0.4,0
,,85.00,626,899.8,18,26,27,12.1,19.8,21.8,80.2,64.2,992.63,26.7,31.8,8.5,26.2,173.1,0.4,-0.4
,,86.00,617,896.5,18,25,26,12.2,19.8,21.8,78.1,64.3,992.62,26.6,31.8,8.5,26.2,173.2,0.5,0.4
,,87.00,617,893.3,18,25,26,12.3,19.9,21.9,78.1,64.5,992.63,26.6,31.8,8.5,26.2,173.1,0.5,0.9
,,88.00,611,890.2,18,25,26,12.3,19.9,21.9,78.1,64.7,992.62,26.6,31.8,8.5,26.2,173.1,0.4,-0.4
,,89.00,612,887.1,18,25,26,12.4,20,21.9,78.1,64.8,992.61,26.6,31.8,8.5,26.2,173.3,0.5,0.7
,,90.00,618,884.1,18,25,27,12.4,20.1,22,78.1,65,992.62,26.6,31.8,8.5,26.2,173.1,0.5,1.1
,,91.00,621,881.3,18,25,27,12.5,20.1,22.1,78.1,65.1,992.63,26.6,31.8,8.5,26.2,173.1,0.4,-0.2
,,92.00,621,878.5,18,25,27,12.6,20.2,22.1,78.1,65.2,992.63,26.6,31.8,8.5,26.1,173.1,0.5,0.6
,,93.00,625,875.8,18,25,27,12.6,20.2,22.2,78.1,65.4,992.62,26.6,31.8,8.5,26.1,173.2,0.4,0
,,94.00,618,873,18,24,26,12.7,20.3,22.2,76,65.5,992.63,26.6,31.8,8.5,26.1,173.1,0.5,0.4
,,95.00,622,870.4,17,23,25,12.7,20.3,22.2,73.9,65.6,992.62,26.6,31.8,8.4,26.1,173.1,0.5,0.8
,,96.00,622,867.9,17,23,25,12.8,20.3,22.3,73.9,65.7,992.64,26.6,31.8,8.4,26.1,173,0.5,0.5
,,97.00,629,865.4,17,22,26,12.8,20.3,22.3,71.8,65.7,992.63,26.6,31.8,8.4,26.1,173.1,0.4,0.3
,,98.00,649,863.2,18,23,28,12.9,20.4,22.4,73.9,65.8,992.62,26.6,31.8,8.4,26.1,173.1,0.5,0.6
,,99.00,655,861.2,17,22,27,12.9,20.4,22.4,71.8,65.9,992.6,26.5,31.8,8.4,26.1,173.4,0.4,-0.2
,,100.00,657,859.1,16,23,27,12.9,20.4,22.4,73.9,65.9,992.61,26.5,31.8,8.4,26.1,173.2,0.4,-0.1
,,101.00,666,857.2,16,23,27,13,20.4,22.5,73.9,66,992.63,26.5,31.8,8.4,26.1,173.1,0.5,0.9
,,102.00,696,855.7,16,26,30,13,20.5,22.6,80.2,66.2,992.6,26.5,31.8,8.4,26.1,173.3,0.4,-0.1
,,103.00,703,854.2,16,27,30,13,20.5,22.6,82.3,66.3,992.62,26.5,31.8,8.4,26,173.1,0.5,0.6
,,104.00,711,852.8,16,28,30,13,20.6,22.7,84.4,66.5,992.63,26.5,31.8,8.4,26,173.1,0.4,0.2
,,105.00,720,851.6,15,28,28,13.1,20.7,22.8,84.4,66.7,992.61,26.5,31.8,8.4,26,173.2,0.5,0.4
,,106.00,750,850.6,16,28,30,13.1,20.7,22.8,84.4,66.8,992.62,26.5,31.8,8.4,26,173.2,0.4,0
,,107.00,750,849.7,16,28,31,13.1,20.8,22.9,84.4,67,992.62,26.5,31.8,8.4,26,173.2,0.4,0.2
,,108.00,747,848.8,16,28,31,13.1,20.9,23,84.4,67.1,992.62,26.5,31.8,8.4,26,173.1,0.4,-0.4
,,109.00,750,847.9,15,27,31,13.2,20.9,23,82.3,67.3,992.63,26.5,31.8,8.4,26,173.1,0.5,0.6
,,110.00,734,846.8,14,26,29,13.2,21,23.1,80.2,67.4,992.6,26.5,31.8,8.4,26,173.3,0.5,0.9
,,111.00,729,845.8,14,26,29,13.2,21,23.2,80.2,67.5,992.61,26.5,31.8,8.3,26,173.2,0.5,0.4
,,112.00,727,844.7,15,26,29,13.2,21.1,23.2,80.2,67.6,992.62,26.4,31.8,8.3,26,173.2,0.5,0.9
,,113.00,732,843.8,15,26,29,13.2,21.1,23.3,80.2,67.7,992.61,26.4,31.8,8.3,26,173.2,0.4,-0.2
,,114.00,718,842.7,14,25,28,13.2,21.1,23.3,78.1,67.8,992.61,26.4,31.8,8.3,25.9,173.2,0.4,-0.1
,,115.00,715,841.6,15,25,28,13.2,21.2,23.3,78.1,67.9,992.62,26.4,31.8,8.3,25.9,173.2,0.4,0.2
,,116.00,718,840.5,15,25,28,13.2,21.2,23.4,78.1,68,992.66,26.4,31.8,8.3,25.9,172.8,0.4,0.1
,,117.00,716,839.4,15,25,28,13.3,21.2,23.4,78.1,68.1,992.63,26.4,31.8,8.3,25.9,173.1,0.4,0
,,118.00,736,838.6,15,23,28,13.3,21.3,23.5,73.9,68.1,992.63,26.4,31.8,8.3,25.9,173.1,0.4,0.3
,,119.00,737,837.7,15,23,28,13.3,21.3,23.5,73.9,68.2,992.62,26.4,31.8,8.3,25.9,173.1,0.5,0.4
,,120.00,738,836.9,15,23,28,13.3,21.3,23.5,73.9,68.2,992.65,26.4,31.8,8.3,25.9,172.9,0.4,0.1
,,121.00,739,836.1,15,23,28,13.3,21.3,23.6,73.9,68.3,992.61,26.4,31.8,8.3,25.9,173.2,0.4,-0.1
,,122.00,743,835.3,16,23,27,13.3,21.3,23.6,73.9,68.3,992.62,26.4,31.8,8.3,25.9,173.2,0.4,0.2
,,123.00,742,834.6,16,23,27,13.4,21.3,23.6,73.9,68.4,992.61,26.4,31.8,8.3,25.9,173.2,0.4,0
,,124.00,741,833.8,16,23,27,13.4,21.3,23.6,73.9,68.4,992.61,26.3,31.8,8.3,25.9,173.3,0.5,0.8
,,125.00,739,833.1,16,23,27,13.4,21.4,23.7,73.9,68.5,992.61,26.3,31.8,8.3,25.9,173.2,0.5,0.4
,,126.00,739,832.4,16,23,27,13.4,21.4,23.7,73.9,68.5,992.64,26.3,31.8,8.2,25.8,173,0.5,0.8
,,127.00,738,831.6,17,24,28,13.5,21.4,23.7,76,68.6,992.63,26.3,31.8,8.2,25.8,173,0.5,0.7
,,128.00,736,830.9,17,24,28,13.5,21.4,23.8,76,68.6,992.63,26.3,31.8,8.2,25.8,173.1,0.4,-0.2
,,129.00,736,830.1,17,23,28,13.5,21.4,23.8,73.9,68.7,992.62,26.3,31.8,8.2,25.8,173.2,0.4,0.1
,,130.00,729,829.4,16,22,27,13.5,21.4,23.8,71.8,68.7,992.64,26.3,31.8,8.2,25.8,173,0.4,-0.1
,,131.00,727,828.6,16,22,27,13.5,21.4,23.8,71.8,68.7,992.62,26.3,31.8,8.2,25.8,173.2,0.4,-0.2
,,132.00,727,827.8,16,22,27,13.6,21.4,23.9,71.8,68.7,992.63,26.3,31.8,8.2,25.8,173.1,0.5,1
,,133.00,725,827.1,15,21,26,13.6,21.4,23.9,69.7,68.7,992.61,26.3,31.8,8.2,25.8,173.2,0.4,0.3
,,134.00,719,826.3,16,22,27,13.6,21.4,23.9,71.8,68.8,992.63,26.3,31.8,8.2,25.8,173.1,0.5,0.4
,,135.00,715,825.4,16,22,25,13.6,21.4,23.9,71.8,68.8,992.61,26.3,31.8,8.2,25.8,173.2,0.4,0
,,136.00,714,824.6,16,22,25,13.6,21.4,23.9,71.8,68.8,992.62,26.3,31.8,8.2,25.8,173.1,0.4,0.3
,,137.00,716,823.8,16,22,25,13.6,21.4,23.9,71.8,68.8,992.64,26.3,31.8,8.2,25.8,173,0.4,0.1
,,138.00,703,823,16,23,25,13.7,21.5,23.9,73.9,68.9,992.62,26.2,31.8,8.2,25.8,173.1,0.5,0.9
,,139.00,696,822.1,16,23,25,13.7,21.5,24,73.9,68.9,992.64,26.2,31.8,8.2,25.7,173,0.5,0.4
,,140.00,684,821.1,16,23,25,13.7,21.5,24,73.9,68.9,992.62,26.2,31.8,8.2,25.8,173.2,0.5,0.7
,,141.00,682,820.1,15,22,23,13.7,21.5,24,71.8,68.9,992.62,26.2,31.8,8.2,25.7,173.2,0.4,-0.4
,,142.00,666,819,16,23,24,13.7,21.5,24,73.9,69,992.6,26.2,31.8,8.1,25.7,173.3,0.5,0.4
,,143.00,664,818,16,23,24,13.7,21.5,24,73.9,69,992.62,26.2,31.8,8.1,25.7,173.2,0.5,0.9
,,144.00,664,816.9,16,22,25,13.8,21.5,24,71.8,69,992.63,26.2,31.8,8.1,25.7,173.1,0.4,-0.3
,,145.00,659,815.8,16,22,25,13.8,21.5,24,71.8,69.1,992.61,26.2,31.8,8.1,25.7,173.2,0.4,-0.1
,,146.00,648,814.7,15,22,25,13.8,21.5,24,71.8,69.1,992.62,26.2,31.8,8.1,25.7,173.2,0.4,0
,,147.00,644,813.5,15,21,25,13.8,21.5,24,69.7,69.1,992.62,26.2,31.8,8.1,25.7,173.2,0.4,-0.3
,,148.00,644,812.4,15,21,25,13.8,21.5,24,69.7,69.1,992.62,26.2,31.8,8.1,25.7,173.1,0.5,0.8
,,149.00,649,811.3,14,21,26,13.8,21.5,24,69.7,69.1,992.62,26.2,31.8,8.1,25.7,173.1,0.4,-0.2
,,150.00,639,810.2,14,21,26,13.8,21.5,24,69.7,69.1,992.62,26.2,31.8,8.1,25.7,173.2,0.4,0.3
,,151.00,638,809,15,22,27,13.8,21.5,24,71.8,69.1,992.62,26.1,31.8,8.1,25.6,173.1,0.5,0.7
,,152.00,638,807.9,14,21,26,13.8,21.5,24,69.7,69.1,992.6,26.1,31.8,8.1,25.6,173.3,0.4,0.3
,,153.00,638,806.8,14,21,26,13.8,21.5,24.1,69.7,69.1,992.62,26.1,31.8,8.1,25.6,173.2,0.5,0.6
,,154.00,634,805.7,14,21,25,13.8,21.5,24.1,69.7,69.1,992.63,26.1,31.8,8.1,25.6,173.1,0.4,0.3
,,155.00,634,804.6,14,21,26,13.8,21.5,24.1,69.7,69.1,992.61,26.1,31.8,8.1,25.6,173.2,0.4,-0.3
,,156.00,634,803.5,14,21,26,13.8,21.5,24.1,69.7,69.1,992.61,26.1,31.8,8,25.6,173.2,0.4,-0.1
,,157.00,634,802.4,14,21,26,13.8,21.5,24.1,69.7,69.1,992.63,26.1,31.8,8,25.6,173.1,0.4,0
,,158.00,614,801.2,14,21,25,13.8,21.5,24.1,69.7,69.1,992.62,26.1,31.8,8,25.6,173.1,0.4,0.3
,,159.00,614,800.1,14,21,25,13.8,21.5,24.1,69.7,69.1,992.64,26.1,31.8,8,25.6,173,0.4,0.3
,,160.00,616,798.9,14,21,25,13.8,21.5,24.1,69.7,69.1,992.62,26.1,31.8,8,25.6,173.1,0.4,0.2
,,161.00,614,797.8,14,20,22,13.8,21.5,24.1,67.6,69.1,992.62,26.1,31.8,8,25.6,173.2,0.4,-0.3
,,162.00,605,796.6,15,22,25,13.8,21.5,24.1,71.8,69.1,992.62,26.1,31.8,8,25.5,173.1,0.5,0.9
,,163.00,604,795.4,15,22,25,13.8,21.5,24.1,71.8,69.2,992.62,26.1,31.8,8,25.5,173.1,0.4,-0.5
,,164.00,597,794.2,15,22,24,13.8,21.5,24.1,71.8,69.2,992.61,26,31.8,8,25.5,173.2,0.4,0.3
,,165.00,596,793,15,22,24,13.8,21.5,24.1,71.8,69.2,992.6,26,31.8,8,25.5,173.3,0.4,-0.3
,,166.00,591,791.8,15,22,24,13.9,21.5,24.1,71.8,69.2,992.61,26,31.8,8,25.5,173.2,0.4,-0.1
,,167.00,592,790.6,15,22,24,13.9,21.5,24.1,71.8,69.2,992.63,26,31.8,8,25.5,173.1,0.4,-0.2
,,168.00,601,789.5,15,22,25,13.9,21.5,24.1,71.8,69.2,992.61,26,31.8,8,25.5,173.3,0.4,-0.2
,,169.00,603,788.4,15,22,25,13.9,21.5,24.1,71.8,69.3,992.61,26,31.8,8,25.5,173.3,0.4,-0.1
,,170.00,600,787.3,15,22,25,13.9,21.5,24.1,71.8,69.3,992.63,26,31.8,8,25.5,173.1,0.5,0.8
,,171.00,601,786.2,15,22,25,13.9,21.5,24.1,71.8,69.3,992.61,26,31.8,8,25.5,173.3,0.4,-0.2
,,172.00,607,785.2,14,22,26,13.9,21.5,24.1,71.8,69.3,992.58,26,31.8,7.9,25.5,173.5,0.5,0.6
,,173.00,606,784.2,15,23,27,13.9,21.5,24.2,73.9,69.3,992.63,26,31.8,7.9,25.5,173.1,0.4,-0.2
,,174.00,607,783.1,15,21,28,13.9,21.5,24.2,69.7,69.3,992.63,26,31.8,7.9,25.5,173.1,0.4,0.1
,,175.00,602,782.1,14,23,30,13.9,21.5,24.2,73.9,69.4,992.62,26,31.8,7.9,25.4,173.2,0.4,0.1
,,176.00,599,781.1,14,24,32,13.9,21.5,24.3,76,69.4,992.63,26,31.8,7.9,25.4,173.1,0.5,0.5
,,177.00,595,780,13,25,33,13.9,21.6,24.3,78.1,69.4,992.61,26,31.8,7.9,25.4,173.2,0.4,0.4
,,178.00,593,779,13,25,33,13.9,21.6,24.4,78.1,69.5,992.64,26,31.8,7.9,25.4,173,0.5,0.6
,,179.00,590,777.9,13,26,32,13.9,21.6,24.4,80.2,69.6,992.63,25.9,31.8,7.9,25.4,173.1,0.5,0.4
,,180.00,590,776.9,13,27,31,13.9,21.6,24.4,82.3,69.6,992.61,25.9,31.8,7.9,25.4,173.2,0.4,0.1
,,181.00,586,775.9,12,27,29,13.9,21.7,24.5,82.3,69.7,992.67,25.9,31.8,7.9,25.4,172.7,0.4,0.3
,,182.00,582,774.8,12,25,27,13.9,21.7,24.5,78.1,69.7,992.64,25.9,31.8,7.9,25.4,173,0.4,0.1
,,183.00,578,773.7,12,25,27,13.8,21.7,24.5,78.1,69.8,992.66,25.9,31.8,7.9,25.4,172.8,0.4,0.1
,,184.00,573,772.6,12,24,26,13.8,21.7,24.5,76,69.8,992.65,25.9,31.8,7.9,25.4,172.9,0.5,0.5
,,185.00,568,771.5,11,23,25,13.8,21.7,24.5,73.9,69.8,992.66,25.9,31.8,7.9,25.4,172.9,0.4,-0.2
,,186.00,572,770.5,11,24,27,13.8,21.7,24.5,76,69.9,992.69,25.9,31.8,7.9,25.4,172.6,0.5,0.8
,,187.00,565,769.4,14,26,31,13.8,21.7,24.5,80.2,69.9,992.63,25.8,31.8,7.8,25.3,173.1,0.5,0.8
,,188.00,560,768.3,14,27,31,13.8,21.8,24.6,82.3,70,992.64,25.8,31.8,7.8,25.3,173,0.4,0.1
,,189.00,557,767.2,14,26,30,13.8,21.8,24.6,80.2,70,992.65,25.8,31.8,7.8,25.3,172.9,0.5,0.7
,,190.00,551,766,15,26,29,13.8,21.8,24.6,80.2,70.1,992.65,25.8,31.8,7.8,25.3,172.9,0.4,0
,,191.00,545,764.9,14,25,25,13.8,21.8,24.6,78.1,70.1,992.64,25.8,31.8,7.8,25.3,173,0.4,-0.1
,,192.00,543,763.7,14,26,26,13.8,21.9,24.6,80.2,70.2,992.64,25.8,31.8,7.8,25.3,173,0.4,-0.4
,,193.00,548,762.6,14,25,25,13.8,21.9,24.6,78.1,70.2,992.65,25.8,31.8,7.8,25.3,172.9,0.5,0.6
